id,cite,linkToId,author,publisher,pubDate
cite_ref-1,"The classic treatment of coercion and state power comes from Max Weber, “Politics as a Vocation,” in <i>From Max Weber: Essays in Sociology</i>, ed. H. H. Gerth and C. Wright Mills (New York: Oxford University Press, 1946), 78. For conquest in the western U.S., see Patricia Nelson Limerick, The <i>Legacy of Conquest: The Unbroken Past of the American West</i> (W.W. Norton & Co., 1987), 45–46, 91–96; Roxanne Dunbar-Ortiz, <i>An Indigenous Peoples’ History of the United States</i> (Beacon Press, 2014), 133-161; Jeffrey Ostler, <i>The Plains Sioux and U.S. Colonialism from Lewis and Clark to Wounded Knee</i> (Cambridge University Press, 2004), 13-106.",cite_note-1,,,
cite_ref-2,"Many thanks to Claudio Saunt for providing data for native land, cessions, and government reservations. Claudio Saunt et al., ""The Invasion of America: How the United States Took Over an Eighth of the World,"" <i>eHistory.org</i>, http://invasionofamerica.ehistory.org/. I have made some minor adjustments to specific shapefiles. Historical state and territory boundaries were derived from: <i>The Newberry Library Atlas of Historical County Boundaries</i> (2011), <a href=""http://publications.newberry.org/ahcbp"" target='_blank'>http://publications.newberry.org/ahcbp</a>. ",cite_note-2,,,
cite_ref-3,"The western US has been shaped by a process of settler colonialism: the elimination or removal of Indigenous people and their replacement by a colonizing population. Settler colonialism is a state-backed project, and the U.S. Post was one channel through which the US government supported it. For the theoretical foundations of settler colonialism, see Patrick Wolfe, “Settler Colonialism and the Elimination of the Native,” <i>Journal of Genocide Research</i> 8, no. 4 (2006): 387–409; Lorenzo Veracini, “‘Settler Colonialism’: Career of a Concept,” <i>The Journal of Imperial and Commonwealth History</i> 41, no. 2 (2013): 313–333. For settler colonialism in the context of the US West, see the 2017 special issue ""Settler Colonialism and the American West"" in the <i>Journal of the West</i>: Janne Lahti, “Introduction: What Is Settler Colonialism and What It Has to Do with the American West?,” <i>Journal of the West</i> 56, no. 4 (Fall 2017): 8–12; Margaret D. Jacobs, <i>White Mother to a Dark Race: Settler Colonialism, Maternalism, and the Removal of Indigenous Children in the American West and Australia, 1880-1940</i> (Lincoln: University of Nebraska Press, 2009), 1-86. For the relationship of the American state to settler colonialism in the West, see Cathleen D. Cahill, <i>Federal Fathers and Mothers: A Social History of the United States Indian Service, 1869–1933</i> (Chapel Hill: University of North Carolina Press, 2013).",cite_note-3,,,
cite_ref-4,"Although I first came across Richard Helbock’s work after he had already passed away in 2011, I am indebted to his work and passion for philately. I purchased a CD-ROM of his dataset that was still available for sale online, containing digitized versions of eight volumes that Helbock had published on the post offices in different regions of the country. Richard W. Helbock, United States Post Offices Volume I – The West (Scappoose, Oregon: La Posta Publications, 1998); Richard W. Helbock, United States Post Offices Volume II – The Great Plains (Scappoose, Oregon: La Posta Publications, 1998); Richard W. Helbock, United States Post Offices Volume III – The Upper Midwest (Lake Oswego, Oregon: La Posta Publications, 2001); Richard W. Helbock, United States Post Offices Volume IV – The Northeast (Scappoose, Oregon: La Posta Publications, 2001); Richard W. Helbock, United States Post Offices Volume V – The Ohio Valley (Scappoose, Oregon: La Posta Publications, 2002); Richard W. Helbock, United States Post Offices Volume VI – The Mid Atlantic (Scappoose, Oregon: La Posta Publications, 2004); Richard W. Helbock, United States Post Offices Volume VII – The Lower Mississippi Valley (Scappoose, Oregon: La Posta Publications, 2005); Richard W. Helbock, United States Post Offices Volume VIII – The Southeast (Scappoose, Oregon: La Posta Publications, 2007).",cite_note-4,,,
cite_ref-5,"I have chosen the year 1877 because it marked a culmination of the project described by Elliott West as ""Greater Reconstruction"" in the West. The government’s large-scale military mobilizations against western tribes were winding down, and the state was building up its civilian infrastructure in order to administer all of this conquered territory, making it an ideal time to examine the state's larger geography in the region. Elliott West, <i>The Last Indian War: The Nez Perce Story</i> (New York: Oxford University Press, 2009). Data for the Judiciary, Department of the Interior, and the Treasury Department in 1877 come from <i>The Official Register of the United States, 1877</i> (Washington, D.C.: Government Printing Office, 1877). Benjamin Brands for provided data about the US Army: Benjamin Brands, “Mapping the Army: Professionalization and 19th Century Army Posts,” Benjamin Brands Personal Website, December 11, 2014, http://benjamindbrands.net/uncategorized/mapping-the-army-professionalization-and-19th-century-army-posts-final-project-blog/. It is important to note that this map only captures the places where people were stationed according to official government records, but people didn’t always stay put: soldiers on patrol might range hundreds of miles from a fort, or a government surveyor might lead a mapping expedition far away from his office. Relatedly, the maps do not show other government agents who “resided” in Washington, DC, but may have nonetheless traveled or worked in the western United States. ",cite_note-5,,,
cite_ref-6,"C. C. Pierce, <i>Caldwell & Bros. Store and Spradra Post Office, Pomona Valley</i>, ca. 1876, photographic print, 16 x 21 cm., <i>Huntington Library</i>, C.C. Pierce Collection of Photographs, photCL Pierce 05023, <a target=""_blank"" href=""https://hdl.huntington.org/digital/collection/p15150coll2/id/8301"">https://hdl.huntington.org/digital/collection/p15150coll2/id/8301</a>; Britton, Rey & Co., Overland Mail Company: Barlow, Sanderson & Co., ca. 1867-1880, lithograph, 46.9 x 60.4 cm., <i>Bancroft Library</i>, BANC PIC 1963.002:1401--FR, <a target=""_blank"" href=""https://calisphere.org/item/ark:/13030/hb5n39n7d3/"">https://calisphere.org/item/ark:/13030/hb5n39n7d3/</a>.",cite_note-6,,,
cite_ref-7,"Charles C. Royce, Indian Land Cessions in the United States, vol. 2, Eighteenth Annual Report of the Bureau of American Ethnology (Washington, D.C.: U.S. Government Printing Office, 1899), 922-923, <a href=""https://archive.org/stream/annualreportofbu218smit#page/922/mode/2up"">https://archive.org/stream/annualreportofbu218smit#page/922/mode/2up</a>. For a discusison of the larger ethical and political dimensions of this kind of data, see Catherine D’Ignazio and Lauren Klein, <a target=""_blank"" href=https://data-feminism.mitpress.mit.edu/pub/frfa9szd/><i>Data Feminism</i></a> (MIT Press, 2020). These maps also reflect a colonial perspective on space and geography. For Indigenous perspectives on cartography, see Jacqueline Reynoso, “Mapping out Early America: Encounters Between Imperial and Indigenous Geographies,” <i>History Compass</i> 18, no. 11 (2020), https://doi.org/10.1111/hic3.12627; Lisa Brooks, “About the Project,” Our Beloved Kin: Remapping A New History of King Philip’s War, November 17, 2017, https://ourbelovedkin.com/awikhigan/about.",cite_note-7,,,
cite_ref-8,"Post offices from Helbock's dataset were assigned coordinates by attempting to ""fuzzy match"" their name, county, and state to entities in the <a target=""_blank"" href=https://www.usgs.gov/core-science-systems/ngp/board-on-geographic-names>Geographic Names Information System (GNIS)</a> database. Roughly 30% of western post offices could not be located through this process.",cite_note-8,,,
cite_ref-9,"Anne F. Hyde, <i>Empires, Nations, and Families: A History of the North American West, 1800-1860</i> (Lincoln, NE: University of Nebraska Press, 2011), 409; Steven Hahn, <i>A Nation Without Borders: The United States and Its World in an Age of Civil Wars</i>, 1830-1910 (New York: Viking, 2016), 141–46.",cite_note-9,,,
cite_ref-10,"For the challenges that the western U.S. posed for national expansion, see Susan Schulten, “The Civil War and the Origins of the Colorado Territory,” <i>Western Historical Quarterly</i> 44, no. 1 (2013): 23–26; Brian Delay, “Independent Indians and the U.S.-Mexican War,” <i>The American Historical Review</i> 112, no. 1 (February 1, 2007): 35–68; Rachel St. John, “Contingent Continent: Spatial and Geographic Arguments in the Shaping of the Nineteenth-Century United States,” <i>Pacific Historical Review</i> 86, no. 1 (February 1, 2017): 18–49.",cite_note-10,,,
